year,Patna High Court,Bombay High Court,Allahabad High Court,Madras High Court,Telangana High Court,Kerala High Court,Karnataka High Court,Chhattisgarh High Court,Punjab and Haryana High Court,Gujarat High Court,Madhya Pradesh High Court,Rajasthan High Court,Delhi High Court,Gauhati High Court,Orissa High Court,Andhra Pradesh High Court,Jharkhand High Court,Calcutta High Court,Himachal Pradesh High Court,Uttarakhand High Court,Jammu & Kashmir High Court,Supreme Court of India,Tripura High Court,Manipur High Court,Meghalaya High Court,Sikkim High Court,total
1997,25,165,,1,42,2,,,,6661,,,6,,2,,,,16,1,,833,,,,,7754
1998,,,,,48,1,113,,,6155,,,9,,,,1,,1,1,,491,,,,,6820
1999,,7,,1,58,2,2,1,,5155,,2,,,1,,2,27,1,2,,570,,,,,5831
2000,,1,,7,46,2,1,43,,9668,13,2,,9,1,,5,,,30,,608,,,,3,10439
2001,33,15,,43,116,3,1,679,,7139,,3,5,19,4,4,,37,25,555,,610,,,,,9291
2002,52,406,,1054,184,2,,540,,5411,,2,47,52,2,2,1,,,702,,578,,,,2,9037
2003,,1815,,1146,365,2,,1667,,4974,,3,89,7,1,,,,,1751,3,751,,,,2,12576
2004,,15732,,1017,20450,,3,2252,,6438,,215,76,5,6,,,,35,1911,,729,,,,4,48873
2005,,48986,,577,29334,41,,5097,,9220,,1091,97,18,38,,,,55,1386,,630,,,,2,96572
2006,,47137,1,2564,26740,4614,1,9005,,8326,,3628,219,77,56,,,,735,3628,3,976,,,,3,107713
2007,,52890,1,3290,34164,41974,6,12775,,7703,,5971,1265,1283,21,,,,2891,1820,28,1322,,,,1,167405
2008,45394,59577,1,3645,29821,48445,20,10024,9281,10996,,6285,2528,1050,24,,,,5120,4518,87,1123,,,,2,237941
2009,74831,80713,,4138,34119,43029,90,13158,21022,2,2,6555,,1341,120,,,,5376,2602,105,6,,,,2,287211
2010,84983,89866,21,5483,56788,43472,128,16137,26991,2,45,5138,7013,4397,523,,,,10424,5361,132,905,,,4,5,357818
2011,95265,91560,,21637,63601,45159,270,16090,28602,17,1024,4298,15797,11460,464,,,,10246,3285,111,847,,,26,1,409760
2012,94111,85466,1,,63020,46742,22975,18830,,12551,7825,6239,11936,14941,546,,2019,,13876,4996,194,619,,,30,2,406919
2013,84438,89626,,32416,56692,43870,7140,18334,24989,9781,8552,6050,9616,16552,1580,,5306,,9622,6790,49,839,613,,202,13,433070
2014,83461,90842,,40065,66775,46899,40013,17690,34949,13103,13537,12025,6938,15127,835,,7115,,8873,5810,141,764,2250,,265,39,507516
2015,102780,96231,,69761,61787,50239,37783,21062,40264,9438,23839,13289,17174,14563,6165,,11086,,9869,6219,182,743,1911,,172,6,594563
2016,90693,98013,,92371,69620,50760,33935,27605,39726,,26179,16517,44553,12262,11491,,10412,1,8225,5741,257,566,1999,,229,7,641162
2017,99788,99121,,96360,62331,48551,33096,31649,42297,,23935,26553,39079,13219,9047,,14579,,6505,7343,2231,710,1172,169,438,16,658189
2018,121240,96860,187947,115878,70257,60623,31917,37722,51243,47850,33472,26891,42411,23805,5750,,15211,,7664,7142,2081,760,1420,707,380,23,989254
